"gene1","gene2","cor","p.adj","log10padj"
"FBgn0033188","FBgn0037972",0.993535693411723,6.72044299604575e-07,-6.17260209831566
"FBgn0036703","FBgn0037986",0.991153203458243,1.7195391622734e-06,-5.76458792873085
"FBgn0033285","FBgn0037987",0.996044684060108,1.54239044339819e-07,-6.81180567430761
"FBgn0036311","FBgn0037987",0.996137124792981,1.43685509694928e-07,-6.84258702711172
"FBgn0037101","FBgn0037987",0.992711284933129,9.62755056045962e-07,-6.01648419193962
"FBgn0036441","FBgn0038018",0.991813740960825,1.36309522245544e-06,-5.86547380436896
"FBgn0036805","FBgn0038095",-0.991581911502058,1.4819531571107e-06,-5.82916552370477
"FBgn0034173","FBgn0038097",0.9965530418653,1.0212324607756e-07,-6.99087538921476
"FBgn0033984","FBgn0038108",0.990346713482979,2.2326261073819e-06,-5.65118400110982
"FBgn0035679","FBgn0038129",0.991716707503198,1.41204013622481e-06,-5.85015295860063
"FBgn0033238","FBgn0038163",0.990908003802141,1.86617157884778e-06,-5.72904842901334
"FBgn0033888","FBgn0038163",0.993664320728223,6.32781256778989e-07,-6.19874639328727
"FBgn0036895","FBgn0038163",0.992750399238164,9.4736630353683e-07,-6.02348206656634
"FBgn0034866","FBgn0038168",0.991799706919061,1.37010321619818e-06,-5.8632467142036
"FBgn0032065","FBgn0038200",0.991032045399279,1.79099580555714e-06,-5.74690543125065
"FBgn0035007","FBgn0038200",0.99130985220552,1.62999631061115e-06,-5.78781337859177
"FBgn0035823","FBgn0038200",0.991950564845731,1.29601688071609e-06,-5.88738934171072
"FBgn0035971","FBgn0038200",0.991104795834579,1.74785699959798e-06,-5.75749410192242
"FBgn0035988","FBgn0038200",0.99482166346872,3.4579809742915e-07,-6.46117740053085
"FBgn0032869","FBgn0038208",0.993110823790169,8.1319599392926e-07,-6.08980476950609
"FBgn0036438","FBgn0038208",0.992734914649465,9.53438682248283e-07,-6.02070723215915
"FBgn0036609","FBgn0038209",0.993633942146133,6.4191257113544e-07,-6.19252411906367
"FBgn0033285","FBgn0038210",0.993318498917982,7.41964771207494e-07,-6.12961671471208
"FBgn0035924","FBgn0038210",0.990007607459373,2.47564309332503e-06,-5.60631196618346
"FBgn0034467","FBgn0038225",0.991196206277598,1.69464048623359e-06,-5.77092242218394
"FBgn0036609","FBgn0038225",0.991076115708423,1.76477993337936e-06,-5.75330944306807
"FBgn0032650","FBgn0038248",0.991644611987325,1.44915342019881e-06,-5.83888563383964
"FBgn0033020","FBgn0038248",0.990974182992673,1.82580768971181e-06,-5.73854496814636
"FBgn0032637","FBgn0038266",0.994922946821479,3.25926724969767e-07,-6.48688002728865
"FBgn0032520","FBgn0038280",0.994827562073533,3.44619282153263e-07,-6.46266042654417
"FBgn0036597","FBgn0038316",-0.990240419780635,2.30700790937674e-06,-5.63695091653535
"FBgn0033984","FBgn0038320",0.990156091476177,2.36717744960152e-06,-5.62576918503916
"FBgn0032374","FBgn0038355",0.992363686446444,1.106880229654e-06,-5.9558993695589
"FBgn0033819","FBgn0038355",0.996729140333018,8.72689490278473e-08,-7.05914025417141
"FBgn0036329","FBgn0038355",0.993347446246166,7.32378833251703e-07,-6.13526421589249
"FBgn0037860","FBgn0038355",0.995354507771526,2.49758833425835e-07,-6.60247914278064
"FBgn0034132","FBgn0038359",0.994420007008241,4.32535414779004e-07,-6.36397832793691
